TIME,SYMBOL,EX,PRICE,SIZE,COND,BID,BIDSIZ,OFR,OFRSIZ,SIGN
2017-09-19 14:02:04,BAC,J,24.97,100, ,24.97,957,24.98,5580,-1
2017-09-19 14:02:05,BAC,V,24.97,100, ,24.97,68,24.98,469,-1
2017-09-19 14:02:06,BAC,N,24.97,50, ,24.97,130,24.98,938,-1
2017-09-19 14:02:08,BAC,N,24.97,5, ,24.97,178,24.98,938,-1
2017-09-19 14:02:13,BAC,Y,24.97,100, ,24.97,903,24.98,3760,-1
2017-09-19 14:02:16,BAC,Y,24.975,100, ,24.97,103,24.98,470,1
2017-09-19 14:02:18,BAC,N,24.973000000000006,140, ,24.97,418,24.98,940,-1
2017-09-19 14:02:20,BAC,Y,24.975,100, ,24.97,202,24.98,470,1
2017-09-19 14:02:22,BAC,Y,24.975,100, ,24.97,202,24.98,470,1
2017-09-19 14:02:22,BAC,B,24.975,1200, ,24.97,202,24.98,470,-1
2017-09-19 14:02:22,BAC,Y,24.98,100, ,24.97,202,24.98,470,1
2017-09-19 14:02:22,BAC,Y,24.98,100, ,24.97,1005,24.98,1849,1
2017-09-19 14:02:23,BAC,N,24.975,100, ,24.97,266,24.98,439,-1
2017-09-19 14:02:23,BAC,Y,24.971,60, ,24.97,266,24.98,439,-1
2017-09-19 14:02:23,BAC,Y,24.98,100, ,24.97,266,24.98,439,1
2017-09-19 14:02:25,BAC,N,24.97,300, ,24.97,2310,24.98,6957,-1
2017-09-19 14:02:27,BAC,B,24.97,200, ,24.97,91,24.98,470,-1
2017-09-19 14:02:28,BAC,Y,24.975,100, ,24.97,91,24.98,470,1
2017-09-19 14:02:30,BAC,N,24.975,100, ,24.97,111,24.98,470,1
2017-09-19 14:02:30,BAC,Y,24.97,100, ,24.97,196,24.98,940,-1
2017-09-19 14:02:31,BAC,Y,24.975,800, ,24.97,196,24.98,940,1
2017-09-19 14:02:31,BAC,Y,24.975,700, ,24.97,196,24.98,940,1
2017-09-19 14:02:31,BAC,Y,24.975,100, ,24.97,196,24.98,940,-1
2017-09-19 14:02:33,BAC,Z,24.975,200, ,24.97,314,24.98,940,-1
2017-09-19 14:02:36,BAC,P,24.975,300, ,24.97,173,24.98,470,-1
2017-09-19 14:02:44,BAC,Y,24.97,426, ,24.97,235,24.98,471,-1
2017-09-19 14:02:44,BAC,Y,24.97,100, ,24.97,221,24.98,471,-1
